Link Id, Lane Id, Travel Dir, Vehicle Id, Actuation Time On (s), Actuation Time Off (s), Vehicle Type Id, Vehicle Length (ft), FHWA Class, Speed (mi/h),Gap (ft), Headway (s), Queue Status, Downstream Turn Dir
23,1,EB,2,317.3,317.4,2,16.7,2,65.55,-1.000,0.000,NotInQueue,Through
23,1,EB,12,355.8,356,3,16.22,2,63.83,3689.058,38.500,NotInQueue,Through
23,1,EB,1,461,461.8,13,68.5,9,57.53,9835.358,105.200,NotInQueue,Through
23,1,EB,5,463.1,463.2,8,14.78,2,57.53,102.740,2.100,NotInQueue,Through
23,1,EB,6,464.6,465.2,12,55,8,57.53,112.749,1.500,NotInQueue,Through
23,1,EB,8,481.6,482.4,13,68.5,9,57.53,1383.674,17.000,NotInQueue,Through
23,1,EB,10,483.8,484.6,13,68.5,9,57.53,112.713,2.200,NotInQueue,Through
23,1,EB,14,485.8,486,7,19.31,3,57.53,102.740,2.000,NotInQueue,Through
23,1,EB,16,487.2,487.5,5,18.98,3,57.53,102.735,1.400,NotInQueue,Through
23,1,EB,18,488.7,488.9,4,16.4,3,57.53,102.735,1.500,NotInQueue,Through
23,1,EB,20,490.1,490.3,3,16.22,2,57.53,102.762,1.400,NotInQueue,Through
23,1,EB,23,491.5,491.7,3,16.22,2,57.53,102.751,1.400,NotInQueue,Through
23,1,EB,25,492.9,493.1,6,16.94,2,57.53,102.751,1.400,NotInQueue,Through
23,1,EB,34,494.3,494.5,3,16.22,2,57.53,102.750,1.400,NotInQueue,Through
23,1,EB,32,495.7,495.9,10,15.53,2,57.53,102.751,1.400,NotInQueue,Through
23,1,EB,35,497.1,497.3,4,16.4,3,57.53,102.749,1.400,NotInQueue,Through
23,1,EB,26,498.7,499.5,13,68.5,9,57.53,112.907,1.600,NotInQueue,Through
23,1,EB,58,500.7,500.9,10,15.53,2,57.53,102.875,2.000,NotInQueue,Through
23,1,EB,28,502.1,502.3,5,18.98,3,57.53,102.874,1.400,NotInQueue,Through
23,1,EB,30,503.6,503.8,7,19.31,3,57.53,102.876,1.500,NotInQueue,Through
23,1,EB,38,505,505.2,3,16.22,2,57.53,102.876,1.400,NotInQueue,Through
23,1,EB,39,506.4,506.6,3,16.22,2,57.53,102.874,1.400,NotInQueue,Through
23,1,EB,72,507.8,508,3,16.22,2,57.53,102.876,1.400,NotInQueue,Through
23,1,EB,41,509.4,510.2,13,68.5,9,57.53,112.874,1.600,NotInQueue,Through
23,1,EB,64,511.4,511.6,7,19.31,3,57.49,102.400,2.000,NotInQueue,Through
23,1,EB,43,520.9,521.2,7,19.31,3,59.30,786.823,9.500,NotInQueue,Through
23,1,EB,45,522.5,523.1,12,55,8,59.30,115.768,1.600,NotInQueue,Through
23,1,EB,67,524.3,524.6,5,18.98,3,59.30,105.746,1.800,NotInQueue,Through
23,1,EB,48,529.6,529.8,3,16.22,2,59.28,437.844,5.300,NotInQueue,Through
23,1,EB,50,531,531.2,7,19.31,3,59.28,105.532,1.400,NotInQueue,Through
23,1,EB,52,532.4,532.7,7,19.31,3,59.27,105.725,1.400,NotInQueue,Through
23,1,EB,55,552.4,552.6,5,18.98,3,58.13,1714.571,20.000,NotInQueue,Through
23,1,EB,57,555.1,555.5,11,29,5,59.31,216.942,2.700,NotInQueue,Through
23,1,EB,61,556.7,556.9,10,15.53,2,59.32,105.621,1.600,NotInQueue,Through
23,1,EB,63,558.1,558.3,9,15.57,2,59.32,105.632,1.400,NotInQueue,Through
23,1,EB,68,559.5,559.6,1,14.57,2,59.32,105.633,1.400,NotInQueue,Through
23,1,EB,105,560.9,561,10,15.53,2,59.32,105.631,1.400,NotInQueue,Through
23,1,EB,107,562.2,562.5,7,19.31,3,59.32,105.632,1.300,NotInQueue,Through
23,1,EB,85,563.7,563.9,5,18.98,3,59.30,105.770,1.500,NotInQueue,Through
23,1,EB,70,569.5,569.7,2,16.7,2,59.28,485.676,5.800,NotInQueue,Through
23,1,EB,111,570.9,571.1,6,16.94,2,59.27,105.702,1.400,NotInQueue,Through
23,1,EB,74,592.1,592.9,13,68.5,9,57.53,1828.978,21.200,NotInQueue,Through
23,1,EB,76,594.2,594.4,5,18.98,3,57.53,102.740,2.100,NotInQueue,Through
23,1,EB,78,595.6,596,11,29,5,57.53,106.751,1.400,NotInQueue,Through
23,1,EB,80,597.3,598,12,55,8,57.53,112.906,1.700,NotInQueue,Through
23,1,EB,82,599.2,599.4,4,16.4,3,57.53,102.875,1.900,NotInQueue,Through
23,1,EB,88,600.6,600.8,4,16.4,3,57.53,102.875,1.400,NotInQueue,Through
23,1,EB,89,603,603.3,11,29,5,60.59,181.776,2.400,NotInQueue,Through
23,1,EB,91,608.8,609.1,11,29,5,59.33,488.188,5.800,NotInQueue,Through
23,1,EB,93,610.3,610.5,2,16.7,2,59.33,105.684,1.500,NotInQueue,Through
23,1,EB,94,611.7,611.9,5,18.98,3,59.33,105.691,1.400,NotInQueue,Through
23,1,EB,96,613.2,613.4,6,16.94,2,59.33,105.692,1.500,NotInQueue,Through
23,1,EB,99,614.6,614.8,6,16.94,2,59.33,105.693,1.400,NotInQueue,Through
23,1,EB,100,616,616.2,6,16.94,2,59.33,105.693,1.400,NotInQueue,Through
23,1,EB,124,617.4,617.6,5,18.98,3,59.33,105.693,1.400,NotInQueue,Through
23,1,EB,127,618.8,619,8,14.78,2,59.33,105.692,1.400,NotInQueue,Through
23,1,EB,141,620.2,620.4,9,15.57,2,59.33,105.693,1.400,NotInQueue,Through
23,1,EB,133,621.6,621.8,8,14.78,2,59.33,105.692,1.400,NotInQueue,Through
23,1,EB,131,623,623.2,4,16.4,3,59.33,105.693,1.400,NotInQueue,Through
23,1,EB,147,624.4,624.6,8,14.78,2,59.33,105.694,1.400,NotInQueue,Through
23,1,EB,102,636.2,636.3,9,15.57,2,58.13,1009.388,11.800,NotInQueue,Through
23,1,EB,103,637.6,637.8,6,16.94,2,58.13,103.676,1.400,NotInQueue,Through
23,1,EB,108,639,639.2,9,15.57,2,58.13,103.884,1.400,NotInQueue,Through
23,1,EB,113,640.4,640.5,1,14.57,2,58.13,103.842,1.400,NotInQueue,Through
23,1,EB,116,641.8,642,4,16.4,3,58.13,103.842,1.400,NotInQueue,Through
23,1,EB,159,643.2,643.4,3,16.22,2,58.13,103.842,1.400,NotInQueue,Through
23,1,EB,118,644.6,644.8,5,18.98,3,58.13,103.843,1.400,NotInQueue,Through
23,1,EB,162,646,646.2,7,19.31,3,58.13,103.842,1.400,NotInQueue,Through
23,1,EB,120,649.9,650,4,16.4,3,60.66,308.030,3.900,NotInQueue,Through
23,1,EB,122,671.6,671.8,9,15.57,2,58.13,1916.549,21.700,NotInQueue,Through
23,1,EB,128,673.5,673.7,7,19.31,3,59.28,147.573,1.900,NotInQueue,Through
23,1,EB,134,674.9,675.1,1,14.57,2,59.27,105.520,1.400,NotInQueue,Through
23,1,EB,137,705.1,705.9,13,68.5,9,57.53,2603.590,30.200,NotInQueue,Through
23,1,EB,139,707.2,707.3,1,14.57,2,57.53,102.740,2.100,NotInQueue,Through
23,1,EB,143,708.6,708.9,11,29,5,57.53,106.907,1.400,NotInQueue,Through
23,1,EB,145,710.2,710.6,11,29,5,57.53,106.875,1.600,NotInQueue,Through
23,1,EB,167,711.8,712,6,16.94,2,57.53,102.875,1.600,NotInQueue,Through
23,1,EB,149,713.2,713.4,4,16.4,3,57.53,102.875,1.400,NotInQueue,Through
23,1,EB,151,714.6,714.8,5,18.98,3,57.53,102.875,1.400,NotInQueue,Through
23,1,EB,153,716.1,716.4,11,29,5,57.53,106.876,1.500,NotInQueue,Through
23,1,EB,155,717.7,718.1,11,29,5,57.53,106.875,1.600,NotInQueue,Through
23,1,EB,157,723.5,723.7,4,16.4,3,59.28,456.510,5.800,NotInQueue,Through
23,1,EB,160,724.9,725.1,5,18.98,3,59.27,105.520,1.400,NotInQueue,Through
23,1,EB,165,726.3,726.5,5,18.98,3,59.27,105.559,1.400,NotInQueue,Through
23,1,EB,169,747.7,748.1,11,29,5,59.33,1845.426,21.400,NotInQueue,Through
23,1,EB,171,749.4,749.6,4,16.4,3,59.26,113.412,1.700,NotInQueue,Through
23,1,EB,173,750.9,751.7,13,68.5,9,59.25,115.668,1.500,NotInQueue,Through
23,1,EB,175,752.9,753.3,11,29,5,59.25,109.660,2.000,NotInQueue,Through
23,1,EB,181,754.5,754.7,5,18.98,3,59.25,105.660,1.600,NotInQueue,Through
23,1,EB,187,755.9,756.2,7,19.31,3,59.25,105.657,1.400,NotInQueue,Through
23,1,EB,195,757.4,757.6,5,18.98,3,59.25,105.659,1.500,NotInQueue,Through
23,1,EB,191,758.8,759.2,11,29,5,59.25,109.657,1.400,NotInQueue,Through
23,1,EB,202,760.4,760.8,11,29,5,59.25,109.660,1.600,NotInQueue,Through
23,1,EB,178,765,765.7,12,55,8,58.72,369.438,4.600,NotInQueue,Through
23,1,EB,206,766.9,767.1,7,19.31,3,58.72,104.643,1.900,NotInQueue,Through
23,1,EB,180,778.9,779.7,13,68.5,9,57.53,1017.463,12.000,NotInQueue,Through
23,1,EB,184,781,781.2,5,18.98,3,57.53,102.740,2.100,NotInQueue,Through
23,1,EB,185,782.4,782.6,6,16.94,2,57.53,102.751,1.400,NotInQueue,Through
23,1,EB,188,783.8,784,7,19.31,3,57.53,102.750,1.400,NotInQueue,Through
23,1,EB,193,802,802.7,12,55,8,57.53,1518.198,18.200,NotInQueue,Through
23,1,EB,197,803.9,804.1,4,16.4,3,57.53,102.740,1.900,NotInQueue,Through
23,1,EB,199,805.3,805.5,3,16.22,2,57.53,102.750,1.400,NotInQueue,Through
23,1,EB,204,806.7,806.9,4,16.4,3,57.53,102.751,1.400,NotInQueue,Through
23,1,EB,208,808.1,808.3,3,16.22,2,57.53,102.750,1.400,NotInQueue,Through
23,1,EB,228,809.5,809.8,5,18.98,3,57.53,102.751,1.400,NotInQueue,Through
23,1,EB,210,811,811.2,4,16.4,3,57.53,102.751,1.500,NotInQueue,Through
23,1,EB,213,812.4,812.6,10,15.53,2,57.53,102.750,1.400,NotInQueue,Through
23,1,EB,214,835,835.2,4,16.4,3,58.13,1891.484,22.600,NotInQueue,Through
23,1,EB,216,836.4,836.6,3,16.22,2,58.13,103.698,1.400,NotInQueue,Through
23,1,EB,218,837.9,838.2,11,29,5,58.06,107.678,1.500,NotInQueue,Through
23,1,EB,220,839.4,839.6,1,14.57,2,58.03,103.588,1.500,NotInQueue,Through
23,1,EB,222,840.8,841,2,16.7,2,58.00,103.516,1.400,NotInQueue,Through
23,1,EB,224,842.2,842.4,2,16.7,2,57.99,103.513,1.400,NotInQueue,Through
23,1,EB,226,843.6,843.8,2,16.7,2,57.98,103.452,1.400,NotInQueue,Through
23,1,EB,232,845,845.2,4,16.4,3,57.96,103.474,1.400,NotInQueue,Through
23,1,EB,236,846.5,846.7,7,19.31,3,57.94,103.444,1.500,NotInQueue,Through
23,1,EB,230,847.9,848.1,5,18.98,3,57.93,103.446,1.400,NotInQueue,Through
23,1,EB,241,849.3,849.5,3,16.22,2,57.93,103.415,1.400,NotInQueue,Through
23,1,EB,253,850.7,851,5,18.98,3,57.92,103.407,1.400,NotInQueue,Through
23,1,EB,255,852.2,852.4,9,15.57,2,57.92,103.407,1.500,NotInQueue,Through
23,1,EB,257,853.6,853.8,7,19.31,3,57.92,103.434,1.400,NotInQueue,Through
23,1,EB,245,855,855.3,5,18.98,3,57.91,103.397,1.400,NotInQueue,Through
23,1,EB,234,873.3,873.5,1,14.57,2,58.13,1541.110,18.300,NotInQueue,Through
23,1,EB,238,874.7,875,7,19.31,3,58.13,103.698,1.400,NotInQueue,Through
23,1,EB,243,876.2,876.6,11,29,5,58.13,107.874,1.500,NotInQueue,Through
23,1,EB,247,877.8,878,10,15.53,2,58.13,103.844,1.600,NotInQueue,Through
23,1,EB,249,879.2,879.4,4,16.4,3,58.13,103.843,1.400,NotInQueue,Through
23,1,EB,275,880.6,880.8,1,14.57,2,58.13,103.848,1.400,NotInQueue,Through
23,1,EB,278,882,882.2,6,16.94,2,58.13,103.856,1.400,NotInQueue,Through
23,1,EB,262,883.4,883.6,7,19.31,3,58.13,103.853,1.400,NotInQueue,Through
23,1,EB,251,884.8,885,2,16.7,2,58.52,103.829,1.400,NotInQueue,Through
23,1,EB,260,886.3,886.4,10,15.53,2,58.51,104.013,1.500,NotInQueue,Through
23,1,EB,281,887.6,887.8,2,16.7,2,58.54,104.118,1.300,NotInQueue,Through
23,1,EB,289,889.1,889.2,8,14.78,2,58.49,104.075,1.500,NotInQueue,Through
23,1,EB,265,910.1,910.4,11,29,5,60.55,1776.743,21.000,NotInQueue,Through
23,1,EB,267,911.6,911.8,8,14.78,2,60.55,107.602,1.500,NotInQueue,Through
23,1,EB,269,913.1,913.9,13,68.5,9,60.55,117.781,1.500,NotInQueue,Through
23,1,EB,290,915.1,915.3,6,16.94,2,60.55,107.748,2.000,NotInQueue,Through
23,1,EB,270,916.5,916.7,7,19.31,3,60.55,107.748,1.400,NotInQueue,Through
23,1,EB,293,917.9,918.1,4,16.4,3,60.55,107.749,1.400,NotInQueue,Through
23,1,EB,272,924,924.3,11,29,5,60.55,520.205,6.100,NotInQueue,Through
23,1,EB,273,925.5,925.7,4,16.4,3,60.55,107.602,1.500,NotInQueue,Through
23,1,EB,280,926.9,927.1,2,16.7,2,60.55,107.780,1.400,NotInQueue,Through
23,1,EB,284,928.3,928.5,5,18.98,3,60.55,107.747,1.400,NotInQueue,Through
23,1,EB,312,929.7,929.9,2,16.7,2,60.55,107.749,1.400,NotInQueue,Through
