Link Id, Lane Id, Travel Dir, Vehicle Id, Actuation Time On (s), Actuation Time Off (s), Vehicle Type Id, Vehicle Length (ft), FHWA Class, Speed (mi/h),Gap (ft), Headway (s), Queue Status, Downstream Turn Dir
45,1,EB,2,558.9,559.1,2,16.7,2,65.55,-1.000,0.000,NotInQueue,Through
45,1,EB,12,603.9,604.1,3,16.22,2,63.83,4309.366,45.000,NotInQueue,Through
45,1,EB,1,736.4,737.2,13,68.5,9,57.53,12384.640,132.500,NotInQueue,Through
45,1,EB,5,738.4,738.6,8,14.78,2,57.53,102.742,2.000,NotInQueue,Through
45,1,EB,6,739.9,740.6,12,55,8,57.53,112.747,1.500,NotInQueue,Through
45,1,EB,8,757,757.8,13,68.5,9,57.53,1383.676,17.100,NotInQueue,Through
45,1,EB,10,759.1,759.9,13,68.5,9,57.53,112.711,2.100,NotInQueue,Through
45,1,EB,14,761.1,761.4,7,19.31,3,57.53,102.742,2.000,NotInQueue,Through
45,1,EB,16,762.6,762.8,5,18.98,3,57.53,102.733,1.500,NotInQueue,Through
45,1,EB,18,764,764.2,4,16.4,3,57.53,102.735,1.400,NotInQueue,Through
45,1,EB,20,765.4,765.6,3,16.22,2,57.53,102.764,1.400,NotInQueue,Through
45,1,EB,23,766.8,767,3,16.22,2,57.53,102.749,1.400,NotInQueue,Through
45,1,EB,25,768.3,768.5,6,16.94,2,57.53,102.749,1.500,NotInQueue,Through
45,1,EB,34,769.7,769.9,3,16.22,2,57.53,102.751,1.400,NotInQueue,Through
45,1,EB,32,771.1,771.3,10,15.53,2,57.53,102.753,1.400,NotInQueue,Through
45,1,EB,35,772.5,772.7,4,16.4,3,57.53,102.747,1.400,NotInQueue,Through
45,1,EB,26,774,774.8,13,68.5,9,57.53,112.909,1.500,NotInQueue,Through
45,1,EB,58,776,776.2,10,15.53,2,57.53,102.875,2.000,NotInQueue,Through
45,1,EB,28,777.5,777.7,5,18.98,3,57.53,102.872,1.500,NotInQueue,Through
45,1,EB,30,778.9,779.1,7,19.31,3,57.53,102.876,1.400,NotInQueue,Through
45,1,EB,38,780.3,780.5,3,16.22,2,57.53,102.878,1.400,NotInQueue,Through
45,1,EB,39,781.8,781.9,3,16.22,2,57.53,102.874,1.500,NotInQueue,Through
45,1,EB,72,783.2,783.4,3,16.22,2,57.53,102.874,1.400,NotInQueue,Through
45,1,EB,41,784.7,785.5,13,68.5,9,57.53,112.874,1.500,NotInQueue,Through
45,1,EB,64,786.7,787,7,19.31,3,57.52,102.856,2.000,NotInQueue,Through
45,1,EB,43,788.2,788.4,7,19.31,3,57.46,102.694,1.500,NotInQueue,Through
45,1,EB,45,789.7,790.4,12,55,8,57.44,112.635,1.500,NotInQueue,Through
45,1,EB,67,791.6,791.8,5,18.98,3,57.43,102.648,1.900,NotInQueue,Through
45,1,EB,48,796.8,797,3,16.22,2,59.28,416.001,5.200,NotInQueue,Through
45,1,EB,50,798.2,798.4,7,19.31,3,59.28,105.573,1.400,NotInQueue,Through
45,1,EB,52,799.6,799.8,7,19.31,3,59.28,105.737,1.400,NotInQueue,Through
45,1,EB,55,824.8,825,5,18.98,3,58.13,2172.182,25.200,NotInQueue,Through
45,1,EB,57,826.3,826.6,11,29,5,58.13,107.879,1.500,NotInQueue,Through
45,1,EB,61,827.9,828,10,15.53,2,58.13,103.856,1.600,NotInQueue,Through
45,1,EB,63,829.3,829.4,9,15.57,2,58.13,103.857,1.400,NotInQueue,Through
45,1,EB,68,830.7,830.8,1,14.57,2,58.13,103.856,1.400,NotInQueue,Through
45,1,EB,105,832,832.2,10,15.53,2,58.13,103.856,1.300,NotInQueue,Through
45,1,EB,107,833.4,833.7,7,19.31,3,58.13,103.857,1.400,NotInQueue,Through
45,1,EB,85,834.9,835.1,5,18.98,3,58.13,103.854,1.500,NotInQueue,Through
45,1,EB,70,836.7,836.9,2,16.7,2,59.28,132.012,1.800,NotInQueue,Through
45,1,EB,111,838.1,838.3,6,16.94,2,59.28,105.722,1.400,NotInQueue,Through
45,1,EB,74,867.5,868.3,13,68.5,9,57.53,2517.349,29.400,NotInQueue,Through
45,1,EB,76,869.5,869.7,5,18.98,3,57.53,102.742,2.000,NotInQueue,Through
45,1,EB,78,871,871.3,11,29,5,57.53,106.747,1.500,NotInQueue,Through
45,1,EB,80,872.7,873.3,12,55,8,57.53,112.906,1.700,NotInQueue,Through
45,1,EB,82,874.5,874.7,4,16.4,3,57.53,102.875,1.800,NotInQueue,Through
45,1,EB,88,876,876.1,4,16.4,3,57.53,102.877,1.500,NotInQueue,Through
45,1,EB,89,877.4,877.8,11,29,5,57.52,106.854,1.400,NotInQueue,Through
45,1,EB,91,879,879.4,11,29,5,57.52,106.867,1.600,NotInQueue,Through
45,1,EB,93,880.6,880.8,2,16.7,2,57.52,102.867,1.600,NotInQueue,Through
45,1,EB,94,882,882.2,5,18.98,3,57.52,102.866,1.400,NotInQueue,Through
45,1,EB,96,883.4,883.6,6,16.94,2,57.52,102.868,1.400,NotInQueue,Through
45,1,EB,99,884.9,885.1,6,16.94,2,57.52,102.865,1.500,NotInQueue,Through
45,1,EB,100,886.3,886.5,6,16.94,2,57.52,102.865,1.400,NotInQueue,Through
45,1,EB,124,887.7,887.9,5,18.98,3,57.52,102.865,1.400,NotInQueue,Through
45,1,EB,127,889.2,889.3,8,14.78,2,57.52,102.868,1.500,NotInQueue,Through
45,1,EB,141,890.5,890.7,9,15.57,2,57.52,102.865,1.300,NotInQueue,Through
45,1,EB,133,891.9,892.1,8,14.78,2,57.52,102.868,1.400,NotInQueue,Through
45,1,EB,131,893.3,893.5,4,16.4,3,57.52,102.865,1.400,NotInQueue,Through
45,1,EB,147,894.8,894.9,8,14.78,2,57.52,102.866,1.500,NotInQueue,Through
45,1,EB,102,908.6,908.8,9,15.57,2,58.13,1153.204,13.800,NotInQueue,Through
45,1,EB,103,910,910.2,6,16.94,2,58.13,103.875,1.400,NotInQueue,Through
45,1,EB,108,911.4,911.6,9,15.57,2,58.13,103.798,1.400,NotInQueue,Through
45,1,EB,113,912.8,913,1,14.57,2,58.13,103.856,1.400,NotInQueue,Through
45,1,EB,116,914.2,914.4,4,16.4,3,58.13,103.856,1.400,NotInQueue,Through
45,1,EB,159,915.6,915.8,3,16.22,2,58.13,103.854,1.400,NotInQueue,Through
45,1,EB,118,917,917.2,5,18.98,3,58.13,103.854,1.400,NotInQueue,Through
45,1,EB,162,918.5,918.7,7,19.31,3,58.13,103.856,1.500,NotInQueue,Through
45,1,EB,120,919.9,920.1,4,16.4,3,58.13,103.858,1.400,NotInQueue,Through
45,1,EB,122,944,944.2,9,15.57,2,58.13,2040.315,24.100,NotInQueue,Through
45,1,EB,128,945.4,945.7,7,19.31,3,58.13,103.875,1.400,NotInQueue,Through
45,1,EB,134,946.9,947,1,14.57,2,58.13,103.854,1.500,NotInQueue,Through
45,1,EB,137,980.5,981.3,13,68.5,9,57.53,2850.637,33.600,NotInQueue,Through
45,1,EB,139,982.5,982.7,1,14.57,2,57.53,102.742,2.000,NotInQueue,Through
45,1,EB,143,983.9,984.3,11,29,5,57.53,106.907,1.400,NotInQueue,Through
45,1,EB,145,985.6,985.9,11,29,5,57.53,106.875,1.700,NotInQueue,Through
45,1,EB,167,987.1,987.3,6,16.94,2,57.53,102.875,1.500,NotInQueue,Through
45,1,EB,149,988.5,988.7,4,16.4,3,57.53,102.873,1.400,NotInQueue,Through
45,1,EB,151,989.9,990.2,5,18.98,3,57.53,102.873,1.400,NotInQueue,Through
45,1,EB,153,991.4,991.8,11,29,5,57.53,106.879,1.500,NotInQueue,Through
45,1,EB,155,993.1,993.4,11,29,5,57.53,106.875,1.700,NotInQueue,Through
45,1,EB,157,994.6,994.8,4,16.4,3,57.52,102.856,1.500,NotInQueue,Through
45,1,EB,160,996,996.3,5,18.98,3,57.52,102.866,1.400,NotInQueue,Through
45,1,EB,165,997.5,997.7,5,18.98,3,57.52,102.868,1.500,NotInQueue,Through
45,1,EB,169,1014.7,1015,11,29,5,59.33,1433.227,17.200,NotInQueue,Through
45,1,EB,171,1016.7,1016.9,4,16.4,3,59.26,144.734,2.000,NotInQueue,Through
45,1,EB,173,1018.2,1019,13,68.5,9,59.25,115.670,1.500,NotInQueue,Through
45,1,EB,175,1020.2,1020.6,11,29,5,59.25,109.660,2.000,NotInQueue,Through
45,1,EB,181,1021.8,1022,5,18.98,3,59.25,105.660,1.600,NotInQueue,Through
45,1,EB,187,1023.2,1023.5,7,19.31,3,59.25,105.657,1.400,NotInQueue,Through
45,1,EB,195,1024.7,1024.9,5,18.98,3,59.25,105.659,1.500,NotInQueue,Through
45,1,EB,191,1026.1,1026.5,11,29,5,59.25,109.657,1.400,NotInQueue,Through
45,1,EB,202,1027.7,1028.1,11,29,5,59.25,109.660,1.600,NotInQueue,Through
45,1,EB,178,1034.8,1035.4,12,55,8,58.72,580.281,7.100,NotInQueue,Through
45,1,EB,206,1036.6,1036.8,7,19.31,3,58.72,104.680,1.800,NotInQueue,Through
45,1,EB,180,1054.3,1055.1,13,68.5,9,57.53,1501.565,17.700,NotInQueue,Through
45,1,EB,184,1056.3,1056.5,5,18.98,3,57.53,102.742,2.000,NotInQueue,Through
45,1,EB,185,1057.7,1057.9,6,16.94,2,57.53,102.747,1.400,NotInQueue,Through
45,1,EB,188,1059.2,1059.4,7,19.31,3,57.53,102.751,1.500,NotInQueue,Through
45,1,EB,193,1077.4,1078,12,55,8,57.53,1518.198,18.200,NotInQueue,Through
45,1,EB,197,1079.2,1079.4,4,16.4,3,57.53,102.738,1.800,NotInQueue,Through
45,1,EB,199,1080.7,1080.9,3,16.22,2,57.53,102.752,1.500,NotInQueue,Through
45,1,EB,204,1082.1,1082.3,4,16.4,3,57.53,102.753,1.400,NotInQueue,Through
45,1,EB,208,1083.5,1083.7,3,16.22,2,57.53,102.748,1.400,NotInQueue,Through
45,1,EB,228,1084.9,1085.1,5,18.98,3,57.53,102.749,1.400,NotInQueue,Through
45,1,EB,210,1086.3,1086.5,4,16.4,3,57.53,102.754,1.400,NotInQueue,Through
45,1,EB,213,1087.7,1087.9,10,15.53,2,57.53,102.748,1.400,NotInQueue,Through
45,1,EB,214,1107.4,1107.6,4,16.4,3,58.13,1646.814,19.700,NotInQueue,Through
45,1,EB,216,1108.9,1109,3,16.22,2,58.13,103.737,1.500,NotInQueue,Through
45,1,EB,218,1110.3,1110.7,11,29,5,58.13,107.886,1.400,NotInQueue,Through
45,1,EB,220,1111.9,1112,1,14.57,2,58.13,103.856,1.600,NotInQueue,Through
45,1,EB,222,1113.3,1113.5,2,16.7,2,58.13,103.856,1.400,NotInQueue,Through
